0.000000000000e+00	1.387674839844e+01
2.807217440588e+06	1.388118611423e+01
5.614434881176e+06	1.389449909732e+01
8.421652321763e+06	1.391668685490e+01
1.122886976235e+07	1.394774856570e+01
1.403608720294e+07	1.398768308020e+01
1.684330464353e+07	1.403648892076e+01
1.965052208411e+07	1.409416428197e+01
2.245773952470e+07	1.416070703094e+01
2.526495696529e+07	1.423611470770e+01
2.807217440588e+07	1.432038452565e+01
3.087939184647e+07	1.441351337212e+01
3.368660928705e+07	1.451549780886e+01
3.649382672764e+07	1.462633407276e+01
3.930104416823e+07	1.474601807648e+01
4.210826160882e+07	1.487454540923e+01
4.491547904941e+07	1.501191133759e+01
4.772269648999e+07	1.515811080635e+01
5.052991393058e+07	1.531313843944e+01
5.333713137117e+07	1.547698854095e+01
5.614434881176e+07	1.564965509614e+01
5.895156625234e+07	1.583113177252e+01
6.175878369293e+07	1.602141192105e+01
6.456600113352e+07	1.622048857732e+01
6.737321857411e+07	1.642835446283e+01
7.018043601470e+07	1.664500198628e+01
7.298765345528e+07	1.687042324500e+01
7.579487089587e+07	1.710461002629e+01
7.860208833646e+07	1.734755380900e+01
8.140930577705e+07	1.759924576500e+01
8.421652321763e+07	1.785967676076e+01
8.702374065822e+07	1.812883735901e+01
8.983095809881e+07	1.840671782044e+01
9.263817553940e+07	1.869330810538e+01
9.544539297999e+07	1.898859787565e+01
9.825261042057e+07	1.929257649634e+01
1.010598278612e+08	1.960523303770e+01
1.038670453017e+08	1.992655627709e+01
1.066742627423e+08	2.025653470094e+01
1.094814801829e+08	2.059515650676e+01
1.122886976235e+08	2.094240960520e+01
1.150959150641e+08	2.129828162218e+01
1.179031325047e+08	2.166275990099e+01
1.207103499453e+08	2.203583150455e+01
1.235175673859e+08	2.241748321756e+01
1.263247848265e+08	2.280770154885e+01
1.291320022670e+08	2.320647273361e+01
1.319392197076e+08	2.361378273583e+01
1.347464371482e+08	2.402961725059e+01
1.375536545888e+08	2.445396170657e+01
1.403608720294e+08	2.488680126843e+01
1.431680894700e+08	2.532812083936e+01
1.459753069106e+08	2.577790506358e+01
1.487825243512e+08	2.623613832892e+01
1.515897417917e+08	2.670280476938e+01
1.543969592323e+08	2.717788826778e+01
1.572041766729e+08	2.766137245839e+01
1.600113941135e+08	2.815324072964e+01
1.628186115541e+08	2.865347622679e+01
1.656258289947e+08	2.916206185469e+01
1.684330464353e+08	2.967898028057e+01
1.712402638759e+08	3.020421393675e+01
1.740474813164e+08	3.073774502353e+01
1.768546987570e+08	3.127955551198e+01
1.796619161976e+08	3.182962714681e+01
1.824691336382e+08	3.238794144926e+01
1.852763510788e+08	3.295447971995e+01
1.880835685194e+08	3.352922304186e+01
1.908907859600e+08	3.411215228323e+01
1.936980034006e+08	3.470324810052e+01
1.965052208411e+08	3.530249094136e+01
1.993124382817e+08	3.590986104757e+01
2.021196557223e+08	3.652533845814e+01
2.049268731629e+08	3.714890301224e+01
2.077340906035e+08	3.778053435222e+01
2.105413080441e+08	3.842021192671e+01
2.133485254847e+08	3.906791499361e+01
2.161557429253e+08	3.972362262315e+01
2.189629603658e+08	4.038731370099e+01
2.217701778064e+08	4.105896693125e+01
2.245773952470e+08	4.173856083963e+01
2.273846126876e+08	4.242607377646e+01
2.301918301282e+08	4.312148391979e+01
2.329990475688e+08	4.382476927852e+01
2.358062650094e+08	4.453590769546e+01
2.386134824500e+08	4.525487685046e+01
2.414206998906e+08	4.598165426346e+01
2.442279173311e+08	4.671621729767e+01
2.470351347717e+08	4.745854316258e+01
2.498423522123e+08	4.820860891714e+01
2.526495696529e+08	4.896639147282e+01
2.554567870935e+08	4.973186759671e+01
2.582640045341e+08	5.050501391459e+01
2.610712219747e+08	5.128580691408e+01
2.638784394153e+08	5.207422294765e+01
2.666856568558e+08	5.287023823574e+01
2.694928742964e+08	5.367382886983e+01
2.723000917370e+08	5.448497081548e+01
2.751073091776e+08	5.530363991541e+01
2.779145266182e+08	5.612981189252e+01
